region,country,language,language_code,population
Australia & Melanesia,Australia,Gurindji Kriol,gjr,"1,000"
Australia & Melanesia,New Caledonia,Yuanga,nua,"2,400"
Australia & Melanesia,New Caledonia,Numèè,kdk,"2,180"
Australia & Melanesia,New Caledonia,Nyelâyu,yly,"1,960"
Australia & Melanesia,New Caledonia,Fwâi,fwa,"1,860"
Australia & Melanesia,New Caledonia,Drubea,duf,"1,210"
Australia & Melanesia,New Caledonia,Caac,msq,"1,170"
Australia & Melanesia,New Caledonia,Jawe,jaz,990
Australia & Melanesia,New Caledonia,Nemi,nem,910
Australia & Melanesia,Papua New Guinea,Hakö,hao,"12,000"
Australia & Melanesia,Papua New Guinea,Uneapa,bbn,"12,000"
Australia & Melanesia,Papua New Guinea,Angoram,aog,"8,220"
Australia & Melanesia,Papua New Guinea,Kove,kvc,"8,000"
Australia & Melanesia,Papua New Guinea,Mehek,nux,"6,300"
Australia & Melanesia,Papua New Guinea,Keoru-Ahia,xeu,"5,970"
Australia & Melanesia,Papua New Guinea,Askopan,eiv,"5,000"
Australia & Melanesia,Papua New Guinea,Bannoni,bcm,"4,500"
Australia & Melanesia,Papua New Guinea,Gavak,dmc,"3,820"
Australia & Melanesia,Papua New Guinea,Kap,ykm,"3,460"
Australia & Melanesia,Papua New Guinea,Kairiru,kxa,"3,200"
Australia & Melanesia,Papua New Guinea,Bebeli,bek,"3,130"
Australia & Melanesia,Papua New Guinea,Biwat,bwm,"3,040"
Australia & Melanesia,Papua New Guinea,Karawari,tzx,"3,000"
Australia & Melanesia,Papua New Guinea,Kou,snz,"3,000"
Australia & Melanesia,Papua New Guinea,Ontenu,ont,"3,000"
Australia & Melanesia,Papua New Guinea,Simeku,smz,"3,000"
Australia & Melanesia,Papua New Guinea,Ulau-Suain,svb,"2,800"
Australia & Melanesia,Papua New Guinea,Gorakor,goc,"2,740"
Australia & Melanesia,Papua New Guinea,Heyo,auk,"2,710"
Australia & Melanesia,Papua New Guinea,Vanimo,vam,"2,700"
Australia & Melanesia,Papua New Guinea,Garus,gyb,"2,650"
Australia & Melanesia,Papua New Guinea,Galeya,gar,"2,620"
Australia & Melanesia,Papua New Guinea,Kumalu,ksl,"2,580"
Australia & Melanesia,Papua New Guinea,Koromira,kqj,"2,500"
Australia & Melanesia,Papua New Guinea,Paluai,blq,"2,500"
Australia & Melanesia,Papua New Guinea,Yil,yll,"2,470"
Australia & Melanesia,Papua New Guinea,Maiwala,mum,"2,450"
Australia & Melanesia,Papua New Guinea,Solong,aaw,"2,200"
Australia & Melanesia,Papua New Guinea,Pagi,pgi,"2,140"
Australia & Melanesia,Papua New Guinea,Opao,opo,"2,070"
Australia & Melanesia,Papua New Guinea,Amio-Gelimi,let,"2,000"
Australia & Melanesia,Papua New Guinea,Lawunuia,tgi,"2,000"
Australia & Melanesia,Papua New Guinea,Lungalunga,vmg,"2,000"
Australia & Melanesia,Papua New Guinea,Tomoip,tqp,"2,000"
Australia & Melanesia,Papua New Guinea,Torau,ttu,"2,000"
Australia & Melanesia,Papua New Guinea,Tulil,tuh,"2,000"
Australia & Melanesia,Papua New Guinea,Tulu-Bohuai,rak,"1,970"
Australia & Melanesia,Papua New Guinea,Anamgura,imi,"1,960"
Australia & Melanesia,Papua New Guinea,Dibiyaso,dby,"1,950"
Australia & Melanesia,Papua New Guinea,Gants,gao,"1,880"
Australia & Melanesia,Papua New Guinea,Dia,dia,"1,840"
Australia & Melanesia,Papua New Guinea,Zenag,zeg,"1,820"
Australia & Melanesia,Papua New Guinea,Amaimon,ali,"1,780"
Australia & Melanesia,Papua New Guinea,Lembena,leq,"1,760"
Australia & Melanesia,Papua New Guinea,Mubami,tsx,"1,730"
Australia & Melanesia,Papua New Guinea,Chambri,can,"1,700"
Australia & Melanesia,Papua New Guinea,"Koiari, Grass",kbk,"1,700"
Australia & Melanesia,Papua New Guinea,Nimi,nis,"1,700"
Australia & Melanesia,Papua New Guinea,Waube,kop,"1,650"
Australia & Melanesia,Papua New Guinea,Elkei,elk,"1,640"
Australia & Melanesia,Papua New Guinea,Kapriman,dju,"1,640"
Australia & Melanesia,Papua New Guinea,Nakame,nib,"1,640"
Australia & Melanesia,Papua New Guinea,Khehek,tlx,"1,620"
Australia & Melanesia,Papua New Guinea,Wogeo,woc,"1,620"
Australia & Melanesia,Papua New Guinea,Idi,idi,"1,610"
Australia & Melanesia,Papua New Guinea,Ma Manda,skc,"1,600"
Australia & Melanesia,Papua New Guinea,Rempi,rmp,"1,590"
Australia & Melanesia,Papua New Guinea,Sewa Bay,sew,"1,520"
Australia & Melanesia,Papua New Guinea,Andra-Hus,anx,"1,500"
Australia & Melanesia,Papua New Guinea,Kobuka,urg,"1,500"
Australia & Melanesia,Papua New Guinea,Musar,mmi,"1,500"
Australia & Melanesia,Papua New Guinea,Yabong,ybo,"1,500"
Australia & Melanesia,Papua New Guinea,Kele,sbc,"1,460"
Australia & Melanesia,Papua New Guinea,Ginuman,gnm,"1,440"
Australia & Melanesia,Papua New Guinea,Yahang,rhp,"1,430"
Australia & Melanesia,Papua New Guinea,Gaina,gcn,"1,410"
Australia & Melanesia,Papua New Guinea,Ere,twp,"1,400"
Australia & Melanesia,Papua New Guinea,Mekmek,mvk,"1,400"
Australia & Melanesia,Papua New Guinea,Bipi,biq,"1,380"
Australia & Melanesia,Papua New Guinea,Kalou,ywa,"1,370"
Australia & Melanesia,Papua New Guinea,Maria,mds,"1,350"
Australia & Melanesia,Papua New Guinea,Gnau,gnu,"1,330"
Australia & Melanesia,Papua New Guinea,Yaleba,ylb,"1,330"
Australia & Melanesia,Papua New Guinea,Hahon,hah,"1,300"
Australia & Melanesia,Papua New Guinea,Nanubae,afk,"1,270"
Australia & Melanesia,Papua New Guinea,Kumukio,kuo,"1,260"
Australia & Melanesia,Papua New Guinea,Bilbil,brz,"1,250"
Australia & Melanesia,Papua New Guinea,Ambul,apo,"1,200"
Australia & Melanesia,Papua New Guinea,Brem,buq,"1,190"
Australia & Melanesia,Papua New Guinea,Pano,mqz,"1,180"
Australia & Melanesia,Papua New Guinea,Sowanda,sow,"1,180"
Australia & Melanesia,Papua New Guinea,Utarmbung,omo,"1,170"
Australia & Melanesia,Papua New Guinea,Biage,bdf,"1,100"
Australia & Melanesia,Papua New Guinea,Morawa,mze,"1,100"
Australia & Melanesia,Papua New Guinea,Pak-Tong,pkg,"1,090"
Australia & Melanesia,Papua New Guinea,Kanggape,igm,"1,080"
Australia & Melanesia,Papua New Guinea,Anam,pda,"1,070"
Australia & Melanesia,Papua New Guinea,Wanap,wnp,"1,070"
Australia & Melanesia,Papua New Guinea,Haigwai,hgw,"1,060"
Australia & Melanesia,Papua New Guinea,Penchal,pek,"1,060"
Australia & Melanesia,Papua New Guinea,Uyajitaya,duk,"1,050"
Australia & Melanesia,Papua New Guinea,Yekora,ykr,"1,050"
Australia & Melanesia,Papua New Guinea,Wa'ema,wag,"1,020"
Australia & Melanesia,Papua New Guinea,Mur Pano,tkv,"1,000"
Australia & Melanesia,Papua New Guinea,Murik,mtf,"1,000"
Australia & Melanesia,Papua New Guinea,Oune,oue,"1,000"
Australia & Melanesia,Papua New Guinea,Tainae,ago,"1,000"
Australia & Melanesia,Papua New Guinea,Anor,anj,980
Australia & Melanesia,Papua New Guinea,Domu,dof,950
Australia & Melanesia,Papua New Guinea,Ningil,niz,950
Australia & Melanesia,Papua New Guinea,Wadaginam,wdg,950
Australia & Melanesia,Papua New Guinea,Humene,huf,940
Australia & Melanesia,Papua New Guinea,Niksek,gbe,930
Australia & Melanesia,Papua New Guinea,Wára,tci,930
Australia & Melanesia,Papua New Guinea,Bulu,bjl,910
Australia & Melanesia,Papua New Guinea,Dubuporo,ynl,910
Australia & Melanesia,Papua New Guinea,Isebe,igo,910
Australia & Melanesia,Papua New Guinea,Munit,mtc,910
Australia & Melanesia,Papua New Guinea,Awar,aya,900
Australia & Melanesia,Papua New Guinea,Gitua,ggt,900
Australia & Melanesia,Papua New Guinea,Kairak,ckr,900
Australia & Melanesia,Papua New Guinea,Mala,mmt,900
Australia & Melanesia,Papua New Guinea,Manem,jet,900
Australia & Melanesia,Papua New Guinea,Nuk,noc,900
Australia & Melanesia,Papua New Guinea,Yalaku,ylg,900
Australia & Melanesia,Papua New Guinea,Bongu,bpu,850
Australia & Melanesia,Papua New Guinea,Pahi,lgt,840
Australia & Melanesia,Papua New Guinea,Amal,aad,830
Australia & Melanesia,Papua New Guinea,Anem,anz,830
Australia & Melanesia,Papua New Guinea,Mari,hob,810
Australia & Melanesia,Papua New Guinea,Koiwat,kxt,800
Australia & Melanesia,Papua New Guinea,Konomala,koa,800
Australia & Melanesia,Papua New Guinea,Yis,yis,800
Australia & Melanesia,Papua New Guinea,Degenan,dge,790
Australia & Melanesia,Papua New Guinea,Tumleo,tmq,790
Australia & Melanesia,Papua New Guinea,Loniu,los,780
Australia & Melanesia,Papua New Guinea,Sori-Harengan,sbh,770
Australia & Melanesia,Papua New Guinea,Yoidik,ydk,770
Australia & Melanesia,Papua New Guinea,Aiome,aki,750
Australia & Melanesia,Papua New Guinea,Buna,bvn,750
Australia & Melanesia,Papua New Guinea,Dima,jma,750
Australia & Melanesia,Papua New Guinea,Aruek,aur,740
Australia & Melanesia,Papua New Guinea,"Kodut, South",mcy,730
Australia & Melanesia,Papua New Guinea,Yangum Mon,ymo,730
Australia & Melanesia,Papua New Guinea,Kobol,kgu,720
Australia & Melanesia,Papua New Guinea,Laeko-Libuat,lkl,720
Australia & Melanesia,Papua New Guinea,Mondropolon,npn,720
Australia & Melanesia,Papua New Guinea,Doso,dol,700
Australia & Melanesia,Papua New Guinea,Koromu,xes,700
Australia & Melanesia,Papua New Guinea,Sepa,spe,700
Australia & Melanesia,Papua New Guinea,Wogamusin,wog,700
Australia & Melanesia,Papua New Guinea,Yaben,ybm,700
Australia & Melanesia,Papua New Guinea,Changriwa,cga,690
Australia & Melanesia,Papua New Guinea,Nekgini,nkg,690
Australia & Melanesia,Papua New Guinea,Weliki,klh,670
Australia & Melanesia,Papua New Guinea,Baimak,bmx,650
Australia & Melanesia,Papua New Guinea,Jilim,jil,650
Australia & Melanesia,Papua New Guinea,Malas,mkr,650
Australia & Melanesia,Papua New Guinea,Neko,nej,640
Australia & Melanesia,Papua New Guinea,Rawo,rwa,640
Australia & Melanesia,Papua New Guinea,Binahari,bxz,630
Australia & Melanesia,Papua New Guinea,Kaki Ae,tbd,630
Australia & Melanesia,Papua New Guinea,"Kodut, North",una,630
Australia & Melanesia,Papua New Guinea,Romkun,rmk,630
Australia & Melanesia,Papua New Guinea,Avau,avb,620
Australia & Melanesia,Papua New Guinea,Nabi,mty,620
Australia & Melanesia,Papua New Guinea,Boselewa,bwf,610
Australia & Melanesia,Papua New Guinea,Daantanai',lni,600
Australia & Melanesia,Papua New Guinea,Sarasira,zsa,600
Australia & Melanesia,Papua New Guinea,Wagama,abg,600
Australia & Melanesia,Papua New Guinea,Wagawaga,wgb,600
Australia & Melanesia,Papua New Guinea,Waruna,wrv,600
Australia & Melanesia,Papua New Guinea,Rerau,rea,590
Australia & Melanesia,Papua New Guinea,Wanambre,wnb,590
Australia & Melanesia,Papua New Guinea,Wasembo,gsp,590
Australia & Melanesia,Papua New Guinea,Gumalu,gmu,580
Australia & Melanesia,Papua New Guinea,Utu,utu,580
Australia & Melanesia,Papua New Guinea,Wutung,wut,580
Australia & Melanesia,Papua New Guinea,Elu,elu,570
Australia & Melanesia,Papua New Guinea,Moikodi,mkp,570
Australia & Melanesia,Papua New Guinea,Sihan,snr,570
Australia & Melanesia,Papua New Guinea,Ponam,ncc,560
Australia & Melanesia,Papua New Guinea,Karore,xkx,550
Australia & Melanesia,Papua New Guinea,Ufim,ufi,550
Australia & Melanesia,Papua New Guinea,Kopar,xop,540
Australia & Melanesia,Papua New Guinea,Wampur,waz,530
Australia & Melanesia,Papua New Guinea,Bauwaki,bwk,520
Australia & Melanesia,Papua New Guinea,Karnai,bbv,520
Australia & Melanesia,Papua New Guinea,Sengo,spk,520
Australia & Melanesia,Papua New Guinea,Siliput,mkc,520
Australia & Melanesia,Papua New Guinea,Korak,koz,510
Australia & Melanesia,Papua New Guinea,Medebur,mjm,510
Australia & Melanesia,Papua New Guinea,Watiwa,wtf,510
Australia & Melanesia,Papua New Guinea,Aribwaung,ylu,500
Australia & Melanesia,Papua New Guinea,"One, Molmo",aun,500
Australia & Melanesia,Papua New Guinea,Setaman,stm,500
Australia & Melanesia,Solomon Islands,Birao,brr,"5,900"
Australia & Melanesia,Solomon Islands,Dori'o,dor,"2,410"
Australia & Melanesia,Solomon Islands,Vaghua,tva,"1,960"
Australia & Melanesia,Solomon Islands,Vaeakau-Taumako,piv,"1,660"
Australia & Melanesia,Solomon Islands,Longgu,lgu,"1,500"
Australia & Melanesia,Solomon Islands,Kusaghe,ksg,"1,230"
Australia & Melanesia,Solomon Islands,Kokota,kkk,"1,200"
Australia & Melanesia,Solomon Islands,Ughele,uge,"1,200"
Australia & Melanesia,Solomon Islands,Amba,utp,590
Australia & Melanesia,Vanuatu,Malo,mla,"4,000"
Australia & Melanesia,Vanuatu,Vurës,msn,"2,000"
Australia & Melanesia,Vanuatu,Vao,vao,"1,900"
Australia & Melanesia,Vanuatu,"Maewo, Central",mwo,"1,400"
Australia & Melanesia,Vanuatu,Baetora,btr,"1,330"
Australia & Melanesia,Vanuatu,Neverver,lgk,"1,250"
Australia & Melanesia,Vanuatu,Daakaka,bpa,"1,200"
Australia & Melanesia,Vanuatu,Mae,mme,"1,000"
Australia & Melanesia,Vanuatu,Banam Bay,vrt,900
Australia & Melanesia,Vanuatu,Bierebo,bnk,800
Australia & Melanesia,Vanuatu,Letemboi,nms,800
Australia & Melanesia,Vanuatu,Avava,tmb,700
Australia & Melanesia,Vanuatu,Nume,tgs,700
Australia & Melanesia,Vanuatu,Larevat,lrv,680
Australia & Melanesia,Vanuatu,Butmas-Tur,bnr,520
Australia & Melanesia,Vanuatu,Navut,nsw,520
Australia & Melanesia,Vanuatu,Eton,etn,500
Australia & Melanesia,Vanuatu,Malua Bay,mll,500
Australia & Melanesia,Vanuatu,Marino,mrb,500
Australia & Melanesia,Vanuatu,Neve'ei,vnm,500
Australia & Melanesia,Vanuatu,Tutuba,tmi,500
Islands of Asia,Indonesia,Kerinci,kvr,"285,000"
Islands of Asia,Indonesia,"Bajau, Indonesian",bdl,"226,000"
Islands of Asia,Indonesia,"Malay, Tenggarong Kutai",vkt,"210,000"
Islands of Asia,Indonesia,Tukang Besi North,khc,"120,000"
Islands of Asia,Indonesia,Kangean,kkv,"110,000"
Islands of Asia,Indonesia,Lawangan,lbx,"100,000"
Islands of Asia,Indonesia,Buol,blf,"90,200"
Islands of Asia,Indonesia,"Konjo, Highland",kjk,"68,500"
Islands of Asia,Indonesia,"Malay, Bukit",bvu,"59,000"
Islands of Asia,Indonesia,Ternate,tft,"42,000"
Islands of Asia,Indonesia,Jangkang,djo,"37,000"
Islands of Asia,Indonesia,Seberuang,sbx,"37,000"
Islands of Asia,Indonesia,Geser-Gorom,ges,"36,500"
Islands of Asia,Indonesia,"Kaili, Unde",unz,"35,700"
Islands of Asia,Indonesia,Kulisusu,vkl,"32,100"
Islands of Asia,Indonesia,Ulumanda',ulm,"31,600"
Islands of Asia,Indonesia,Maiwa,wmm,"31,500"
Islands of Asia,Indonesia,Ampanang,apg,"30,000"
Islands of Asia,Indonesia,Bulungan,blj,"30,000"
Islands of Asia,Indonesia,Kedang,ksx,"30,000"
Islands of Asia,Indonesia,Lubu,lcf,"30,000"
Islands of Asia,Indonesia,Pekal,pel,"30,000"
Islands of Asia,Indonesia,Taman,tmn,"30,000"
Islands of Asia,Indonesia,"Tidung, Southern",itd,"27,000"
Islands of Asia,Indonesia,Tidore,tvo,"26,000"
Islands of Asia,Indonesia,Alor,aol,"25,000"
Islands of Asia,Indonesia,"Malay, Balinese",mhp,"25,000"
Islands of Asia,Indonesia,Pannei,pnc,"24,400"
Islands of Asia,Indonesia,Bungku,bkz,"22,000"
Islands of Asia,Indonesia,Dusun Deyah,dun,"20,000"
Islands of Asia,Indonesia,Kodi,kod,"20,000"
Islands of Asia,Indonesia,"Makian, East",mky,"20,000"
Islands of Asia,Indonesia,"Malay, Larantuka",lrt,"20,000"
Islands of Asia,Indonesia,Mandobo Bawah,bwp,"20,000"
Islands of Asia,Indonesia,Sikule,skh,"20,000"
Islands of Asia,Indonesia,Sula,szn,"20,000"
Islands of Asia,Indonesia,Tomini,txm,"19,700"
Islands of Asia,Indonesia,Bahau,bhv,"19,000"
Islands of Asia,Indonesia,Haji,hji,"17,500"
Islands of Asia,Indonesia,Sou Nama,tlt,"17,000"
Islands of Asia,Indonesia,Abui,abz,"16,000"
Islands of Asia,Indonesia,Hitu,htu,"16,000"
Islands of Asia,Indonesia,Duano,dup,"15,600"
Islands of Asia,Indonesia,Modang,mxd,"15,300"
Islands of Asia,Indonesia,Basap,bdb,"15,000"
Islands of Asia,Indonesia,Ile Ape,ila,"15,000"
Islands of Asia,Indonesia,Larike-Wakasihu,alo,"12,600"
Islands of Asia,Indonesia,"Makian, West",mqs,"12,000"
Islands of Asia,Indonesia,Bonerate,bna,"11,900"
Islands of Asia,Indonesia,"Malay, Berau",bve,"11,200"
Islands of Asia,Indonesia,Patani,ptn,"10,600"
Islands of Asia,Indonesia,Seit-Kaitetu,hik,"10,200"
Islands of Asia,Indonesia,Bentong,bnu,"10,100"
Islands of Asia,Indonesia,Kayagar,kyt,"10,000"
Islands of Asia,Indonesia,Kubu,kvb,"10,000"
Islands of Asia,Indonesia,Laura,lur,"10,000"
Islands of Asia,Indonesia,Mandobo Atas,aax,"10,000"
Islands of Asia,Indonesia,"Pantar, Western",lev,"10,000"
Islands of Asia,Indonesia,So'a,ssq,"10,000"
Islands of Asia,Indonesia,Yaqay,jaq,"10,000"
Islands of Asia,Indonesia,Pancana,pnp,"9,460"
Islands of Asia,Indonesia,"Awyu, South",aws,"9,340"
Islands of Asia,Indonesia,Manombai,woo,"9,110"
Islands of Asia,Indonesia,"Asmat, Casuarina Coast",asc,"9,000"
Islands of Asia,Indonesia,Asilulu,asl,"8,760"
Islands of Asia,Indonesia,Kamoro,kgq,"8,000"
Islands of Asia,Indonesia,"Lembata, West",lmj,"8,000"
Islands of Asia,Indonesia,"Muyu, North",kti,"8,000"
Islands of Asia,Indonesia,Beginci,ebc,"7,500"
Islands of Asia,Indonesia,Mangole,mqc,"7,280"
Islands of Asia,Indonesia,"Lembata, South",lmf,"7,000"
Islands of Asia,Indonesia,Sou Upaa,wha,"7,000"
Islands of Asia,Indonesia,Morop,iwo,"6,900"
Islands of Asia,Indonesia,Maba,mqa,"6,620"
Islands of Asia,Indonesia,Luhu,lcq,"6,500"
Islands of Asia,Indonesia,"Tarangan, East",tre,"6,110"
Islands of Asia,Indonesia,Kamang,woi,"6,000"
Islands of Asia,Indonesia,Kepo',kuk,"6,000"
Islands of Asia,Indonesia,Lewotobi,lwt,"6,000"
Islands of Asia,Indonesia,Putoh,put,"6,000"
Islands of Asia,Indonesia,Rajong,rjg,"6,000"
Islands of Asia,Indonesia,Sajau Basap,sjb,"6,000"
Islands of Asia,Indonesia,Wemale,weo,"6,000"
Islands of Asia,Indonesia,Kioko,ues,"5,970"
Islands of Asia,Indonesia,Bolango,bld,"5,770"
Islands of Asia,Indonesia,Ambelau,amv,"5,700"
Islands of Asia,Indonesia,Iha,ihp,"5,500"
Islands of Asia,Indonesia,Kaera,jka,"5,500"
Islands of Asia,Indonesia,Karon Dori,kgw,"5,000"
Islands of Asia,Indonesia,Kula,tpg,"5,000"
Islands of Asia,Indonesia,"Ngad'a, Eastern",nea,"5,000"
Islands of Asia,Indonesia,Rembong,reb,"5,000"
Islands of Asia,Indonesia,Moi,mxn,"4,600"
Islands of Asia,Indonesia,Taliabu,tlv,"4,520"
Islands of Asia,Indonesia,Bobot,bty,"4,500"
Islands of Asia,Indonesia,"Babar, Southeast",vbb,"4,460"
Islands of Asia,Indonesia,Barakai,baj,"4,450"
Islands of Asia,Indonesia,Lamalera,lmr,"4,000"
Islands of Asia,Indonesia,Lamatuka,lmq,"4,000"
Islands of Asia,Indonesia,Levuka,lvu,"4,000"
Islands of Asia,Indonesia,Lewo Eleng,lwe,"4,000"
Islands of Asia,Indonesia,Ma'ya,slz,"4,000"
Islands of Asia,Indonesia,"Muyu, South",kts,"4,000"
Islands of Asia,Indonesia,Watubela,wah,"4,000"
Islands of Asia,Indonesia,Laha,lhh,"3,890"
Islands of Asia,Indonesia,"Awyu, Edera",awy,"3,870"
Islands of Asia,Indonesia,Kokoda,xod,"3,700"
Islands of Asia,Indonesia,"Malay, Banda",bpq,"3,690"
Islands of Asia,Indonesia,Batuley,bay,"3,640"
Islands of Asia,Indonesia,Bati,bvt,"3,500"
Islands of Asia,Indonesia,Korowai,khe,"3,500"
Islands of Asia,Indonesia,Tamagario,tcg,"3,500"
Islands of Asia,Indonesia,Kalabra,kzz,"3,290"
Islands of Asia,Indonesia,Boano,bzn,"3,240"
Islands of Asia,Indonesia,Kur,kuv,"3,180"
Islands of Asia,Indonesia,Malimpung,mli,"3,090"
Islands of Asia,Indonesia,Adang,adn,"3,000"
Islands of Asia,Indonesia,Aghu,ahh,"3,000"
Islands of Asia,Indonesia,"Kayan, Busang",bfg,"3,000"
Islands of Asia,Indonesia,Kimaghima,kig,"3,000"
Islands of Asia,Indonesia,Liana-Seti,ste,"3,000"
Islands of Asia,Indonesia,Nasal,nsy,"3,000"
Islands of Asia,Indonesia,Sawila,swt,"3,000"
Islands of Asia,Indonesia,Uma' Lung,ulu,"3,000"
Islands of Asia,Indonesia,Wae Rana,wrx,"3,000"
Islands of Asia,Indonesia,Waioli,wli,"3,000"
Islands of Asia,Indonesia,Gane,gzn,"2,900"
Islands of Asia,Indonesia,Koneq-koneq,cml,"2,830"
Islands of Asia,Indonesia,"Damar, East",dmr,"2,800"
Islands of Asia,Philippines,Surigaonon,sgd,"501,000"
Islands of Asia,Philippines,"Bikol, Miraya",rbl,"300,000"
Islands of Asia,Philippines,"Bikol, West Albay",fbl,"260,000"
Islands of Asia,Philippines,Iranun,ilp,"241,000"
Islands of Asia,Philippines,Tandaganon,tgn,"100,000"
Islands of Asia,Philippines,Bantayanon,bfx,"71,600"
Islands of Asia,Philippines,"Bikol, Libon",lbl,"68,800"
Islands of Asia,Philippines,Yogad,yog,"17,900"
Islands of Asia,Philippines,"Binukidnon, Northern",kyn,"15,100"
Islands of Asia,Philippines,Kinabalian,cbw,"14,000"
Islands of Asia,Philippines,Baybayanon,bvy,"10,000"
Islands of Asia,Philippines,"Binukidnon, Southern",mtw,"7,570"
Islands of Asia,Philippines,"Manobo, Rajah Kabunsuwan",mqk,"7,560"
Islands of Asia,Philippines,Manide,abd,"3,800"
Islands of Asia,Philippines,"Itneg, Banao",bjx,"3,500"
Islands of Asia,Philippines,"Bontok, Southern",obk,"2,760"
Islands of Asia,Timor-Leste,Bunak,bfn,"76,000"
Islands of Asia,Timor-Leste,Kemak,kem,"72,000"
Islands of Asia,Timor-Leste,Waima'a,wmh,"18,400"
Islands of Asia,Timor-Leste,Nauete,nxa,"15,000"
Islands of Asia,Timor-Leste,Galolen,gal,"13,680"
Islands of Asia,Timor-Leste,Idaté,idt,"13,500"
Islands of Asia,Timor-Leste,Welaun,wlh,"7,080"
Islands of Asia,Timor-Leste,Lakalei,lka,"3,250"
Islands of Asia,Timor-Leste,Habun,hbu,"2,700"
Southeast Asia,Laos,Kang,kyp,"81,700"
Southeast Asia,Laos,Phunoi,pho,"39,200"
Southeast Asia,Laos,Phong-Kniang,pnx,"30,700"
Southeast Asia,Laos,"Katu, Western",kuf,"28,400"
Southeast Asia,Laos,Laopang,lbg,"9,550"
Southeast Asia,Laos,Khuen,khf,"9,000"
Southeast Asia,Laos,Tai Long,thi,"4,800"
Southeast Asia,Laos,Sila,slt,"3,860"
Southeast Asia,Laos,Saek,skb,"3,840"
Southeast Asia,Laos,Bo,bgl,"2,950"
Southeast Asia,Laos,Bit,bgk,"2,570"
Southeast Asia,Laos,Sou,sqq,"2,500"
Southeast Asia,Laos,Kiorr,xko,"2,360"
Southeast Asia,Laos,Maleng,pkt,"1,700"
Southeast Asia,Laos,Con,cno,"1,000"
Southeast Asia,Laos,Kuan,uan,890
Southeast Asia,Laos,Phana',phq,350
Southeast Asia,Laos,Tai Khang,tnu,200
Southeast Asia,Malaysia,"Melanau, Daro-Matu",dro,"7,600"
Southeast Asia,Malaysia,Sebuyau,snb,"7,000"
Southeast Asia,Malaysia,Bintulu,bny,"4,200"
Southeast Asia,Malaysia,"Lobu, Lanas",ruu,"4,000"
Southeast Asia,Malaysia,Remun,lkj,"3,500"
Southeast Asia,Malaysia,"Kayan, Rejang",ree,"3,030"
Southeast Asia,Malaysia,Mah Meri,mhe,"2,990"
Southeast Asia,Malaysia,Uma' Lasan,xky,"2,750"
Southeast Asia,Malaysia,Semaq Beri,szc,"2,000"
Southeast Asia,Malaysia,Sebop,sib,"1,730"
Southeast Asia,Malaysia,Minokok,mqq,"1,200"
Southeast Asia,Malaysia,Orang Seletar,ors,"1,200"
Southeast Asia,Malaysia,Batek,btq,"1,000"
Southeast Asia,Malaysia,"Bidayuh, Tringgus-Sembaan",trx,850
Southeast Asia,Malaysia,"Kadazan, Klias River",kqt,800
Southeast Asia,Malaysia,Sekapan,skp,750
Southeast Asia,Malaysia,Semnam,ssm,670
Southeast Asia,Malaysia,Long Wat,ttw,600
Southeast Asia,Malaysia,Tring,tgq,550
Southeast Asia,Malaysia,Cheq Wong,cwg,460
Southeast Asia,Malaysia,Kiput,kyi,450
Southeast Asia,Malaysia,"Penan, Bah-Biau",pna,450
Southeast Asia,Malaysia,Lahanan,lhn,350
Southeast Asia,Malaysia,"Melanau, Kanowit-Tanjong",kxn,200
Southeast Asia,Malaysia,Ukit,umi,150
Southeast Asia,Malaysia,Kintaq,knq,111
Southeast Asia,Malaysia,Minriq,mnq,100
Southeast Asia,Malaysia,Sihan,spg,50
Southeast Asia,Malaysia,Punan Batu,pnm,30
Southeast Asia,Myanmar,"Palaung, Shwe",pll,"233,000"
Southeast Asia,Myanmar,Tai Laing,tjl,"100,000"
Southeast Asia,Myanmar,Intha,int,"90,000"
Southeast Asia,Myanmar,"Karen, Geko",ghk,"17,000"
Southeast Asia,Myanmar,"Chin, Laitu",clj,"15,000"
Southeast Asia,Myanmar,"Chin, Sumtu",csv,"14,000"
Southeast Asia,Myanmar,Samtao,stu,"13,070"
Southeast Asia,Myanmar,Riang Lai,yin,"12,000"
Southeast Asia,Myanmar,Zayein,kxk,"11,800"
Southeast Asia,Myanmar,Lahta,kvt,"9,550"
Southeast Asia,Myanmar,Kanan,zkn,"9,000"
Southeast Asia,Myanmar,"Naga, Chen-Kayu",nqq,"9,000"
Southeast Asia,Myanmar,"Chin, Songlai",csj,"7,300"
Southeast Asia,Myanmar,"Karen, Paku",jkp,"6,710"
Southeast Asia,Myanmar,"Chin, Rawngtu",weu,"5,000"
Southeast Asia,Myanmar,"Naga, Ponyo-Gongwang",npg,"4,500"
Southeast Asia,Myanmar,"Chin, Rungtu",rtc,"4,000"
Southeast Asia,Myanmar,"Karen, Mobwa",jkm,"4,000"
Southeast Asia,Myanmar,Danau,dnu,"2,000"
Southeast Asia,Myanmar,"Chin, Thaiphum",cth,"1,000"
Southeast Asia,Myanmar,"Naga, Akyaung Ari",nqy,"1,000"
Southeast Asia,Myanmar,"Naga, Lao",nlq,"1,000"
Southeast Asia,Thailand,Phuan,phu,"307,000"
Southeast Asia,Thailand,Nyaw,nyw,"80,000"
Southeast Asia,Thailand,Yoy,yoy,"9,000"
